id_municipio,sigla_uf,domicilios,populacao,area,taxa_alfabetizacao,idade_mediana,razao_sexo,indice_envelhecimento,populacao_indigena,populacao_indigena_terra_indigena,populacao_quilombola,populacao_quilombola_territorio_quilombola
5001243,MS,3370.0,10653.0,1654.0,0.8888,27.0,100.41,26.14,1274.0,668.0,0.0,0.0
5103858,MT,2683.0,8636.0,16908.0,0.90221,27.0,105.81,17.33,2488.0,2423.0,0.0,0.0
5100359,MT,1787.0,5703.0,2248.0,0.9159,27.0,104.62,25.75,1058.0,971.0,0.0,0.0
5107354,MT,1935.0,5930.0,7466.0,0.92582,27.0,112.7,16.78,540.0,461.0,0.0,0.0
5107578,MT,1074.0,3477.0,12658.0,0.89808,27.0,107.52,24.03,1018.0,984.0,0.0,0.0
5107065,MT,8459.0,26310.0,17800.0,0.95102,27.0,110.05,14.99,2037.0,1946.0,0.0,0.0
5103700,MT,3350.0,10455.0,11662.0,0.93559,27.0,107.51,17.39,1352.0,1320.0,0.0,0.0
5107792,MT,1292.0,4093.0,3404.0,0.93529,27.0,109.99,14.9,647.0,600.0,0.0,0.0
1502756,PA,7968.0,26852.0,701.0,0.86392,27.0,101.64,24.41,33.0,0.0,4012.0,928.0
1507755,PA,1776.0,5812.0,1298.0,0.86607,27.0,103.09,21.64,5.0,0.0,0.0,0.0
1506195,PA,9079.0,35625.0,7021.0,0.87928,27.0,105.59,24.99,298.0,0.0,0.0,0.0
1505106,PA,14537.0,51953.0,28011.0,0.90735,27.0,104.94,28.24,872.0,804.0,6788.0,3696.0
1501907,PA,7099.0,24324.0,995.0,0.88521,27.0,102.68,27.06,26.0,0.0,2443.0,450.0
1505486,PA,12474.0,41045.0,11832.0,0.86611,27.0,111.13,20.88,33.0,0.0,0.0,0.0
1505064,PA,18530.0,60607.0,15399.0,0.85227,27.0,106.41,22.21,1119.0,1016.0,0.0,0.0
1502954,PA,8905.0,28117.0,2957.0,0.85915,27.0,105.05,25.95,37.0,0.0,0.0,0.0
1502939,PA,15347.0,58380.0,5269.0,0.88966,27.0,97.73,20.72,41.0,0.0,0.0,0.0
1500958,PA,6652.0,23672.0,1812.0,0.81752,27.0,103.28,24.83,59.0,46.0,1318.0,0.0
1501782,PA,13532.0,45630.0,3942.0,0.84897,27.0,102.16,25.95,107.0,0.0,722.0,0.0
1508050,PA,4688.0,15210.0,11991.0,0.88181,27.0,111.05,22.78,471.0,0.0,0.0,0.0
1508357,PA,4906.0,15562.0,3090.0,0.85806,27.0,106.01,23.18,569.0,283.0,172.0,0.0
1502152,PA,24376.0,76838.0,3147.0,0.94854,27.0,104.5,11.6,118.0,0.0,0.0,0.0
1506401,PA,1771.0,7427.0,1077.0,0.92374,27.0,109.31,27.97,4.0,0.0,0.0,0.0
1500206,PA,17057.0,58883.0,4344.0,0.84099,27.0,107.3,25.99,23.0,0.0,4489.0,1381.0
2603926,PE,3410.0,12239.0,1005.0,0.81441,27.0,103.88,34.05,10506.0,3032.0,267.0,119.0
2208502,PI,3373.0,12034.0,253.0,0.74652,27.0,101.91,29.3,0.0,0.0,16.0,0.0
1400100,RR,119011.0,403025.0,5687.0,0.96428,27.0,97.44,18.63,18620.0,4145.0,0.0,0.0
1400472,RR,10064.0,32559.0,33580.0,0.90498,27.0,106.63,20.21,833.0,525.0,0.0,0.0
1400506,RR,2603.0,8691.0,4285.0,0.90375,27.0,114.95,20.11,539.0,481.0,0.0,0.0
4315404,RS,3101.0,9722.0,304.0,0.90719,27.0,102.83,35.81,4180.0,4058.0,0.0,0.0
